id	data_inversa	dia_semana	horario	uf	br	km	municipio	causa_acidente	tipo_acidente	classificacao_acidente	fase_dia	sentido_via	condicao_metereologica	tipo_pista	tracado_via	uso_solo	pessoas	mortos	feridos_leves	feridos_graves	ilesos	ignorados	feridos	veiculos	latitude	longitude	regional	delegacia	uop
501706	2023-01-28	sábado	11:50:00	RJ	40	58	PETROPOLIS	Velocidade Incompatível	Tombamento	Com Vítimas Feridas	Pleno dia	Decrescente	Céu Claro	Dupla	Curva	Não	2	0	0	1	0	1	1	2	-22,378777	-43,131523	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
509004	2023-03-07	terça-feira	09:10:00	RJ	40	87	PETROPOLIS	Problema com o freio	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Crescente	Céu Claro	Simples	Declive;Curva	Não	1	0	1	0	0	0	1	1	-22,54413793	-43,23287799	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
509060	2023-03-06	segunda-feira	05:00:00	RJ	40	92	PETROPOLIS	Condutor Dormindo	Colisão com objeto	Com Vítimas Fatais	Amanhecer	Crescente	Céu Claro	Simples	Curva	Não	1	1	0	0	0	0	0	1	-22,552182	-43,251194	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
510527	2023-03-14	terça-feira	15:00:00	RJ	495	15	PETROPOLIS	Velocidade Incompatível	Colisão frontal	Com Vítimas Feridas	Pleno dia	Decrescente	Nublado	Simples	Curva	Não	3	0	2	0	1	0	2	2	-22,418934	-43,05574	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
513166	2023-03-27	segunda-feira	08:41:00	RJ	40	90	PETROPOLIS	Velocidade Incompatível	Colisão com objeto	Com Vítimas Feridas	Pleno dia	Decrescente	Nublado	Simples	Aclive;Curva	Não	3	0	2	0	1	0	2	1	-22,55542638	-43,22963476	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
516295	2023-04-11	terça-feira	17:10:00	RJ	40	96	PETROPOLIS	Velocidade Incompatível	Tombamento	Com Vítimas Feridas	Pleno dia	Decrescente	Céu Claro	Simples	Curva;Aclive	Não	2	0	1	0	0	1	1	2	-22,56876595	-43,27693723	SPRF-RJ	DEL01-RJ	UOP01-DEL01-RJ
516977	2023-04-15	sábado	13:00:00	RJ	40	79	PETROPOLIS	Acumulo de água sobre o pavimento	Tombamento	Com Vítimas Feridas	Pleno dia	Crescente	Chuva	Dupla	Curva	Não	2	0	1	0	1	0	1	1	-22,49130098	-43,22294163	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
516978	2023-04-15	sábado	13:00:00	RJ	40	79	PETROPOLIS	Velocidade Incompatível	Colisão traseira	Com Vítimas Feridas	Pleno dia	Decrescente	Céu Claro	Simples	Reta	Não	3	0	1	0	2	0	1	3	-22,49106769	-43,22090149	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
517914	2023-04-19	quarta-feira	20:30:00	RJ	40	81	PETROPOLIS	Velocidade Incompatível	Colisão com objeto	Com Vítimas Feridas	Plena Noite	Crescente	Chuva	Simples	Declive;Curva	Não	1	0	1	0	0	0	1	1	-22,52047984	-43,2292093	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
519651	2023-04-28	sexta-feira	05:30:00	RJ	40	60,3	PETROPOLIS	Pedestre cruzava a pista fora da faixa	Atropelamento de Pedestre	Com Vítimas Fatais	Amanhecer	Decrescente	Chuva	Dupla	Reta	Não	2	1	0	0	0	1	0	2	-22,39450315	-43,13468983	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
520816	2023-05-03	quarta-feira	16:00:00	RJ	40	82	PETROPOLIS	Reação tardia ou ineficiente do condutor	Tombamento	Sem Vítimas	Pleno dia	Crescente	Céu Claro	Simples	Curva	Não	2	0	0	0	2	0	0	1	-22,51183137	-43,23076171	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
522054	2023-05-09	terça-feira	19:20:00	RJ	40	88	PETROPOLIS	Demais falhas mecânicas ou elétricas	Tombamento	Com Vítimas Feridas	Plena Noite	Crescente	Céu Claro	Dupla	Reta	Não	2	0	2	0	0	0	2	1	-22,548575	-43,231738	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
522055	2023-05-09	terça-feira	18:20:00	RJ	40	78	PETROPOLIS	Iluminação deficiente	Colisão traseira	Com Vítimas Feridas	Plena Noite	Decrescente	Céu Claro	Simples	Reta	Não	2	0	1	0	1	0	1	2	-22,48485874	-43,22843406	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
523469	2023-05-16	terça-feira	13:20:00	RJ	40	63	PETROPOLIS	Reação tardia ou ineficiente do condutor	Colisão frontal	Com Vítimas Feridas	Pleno dia	Crescente	Sol	Dupla	Reta;Em Obras	Não	3	0	0	2	1	0	2	2	-22,41855353	-43,1534726	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
523554	2023-05-17	quarta-feira	06:30:00	RJ	40	47	PETROPOLIS	Reação tardia ou ineficiente do condutor	Colisão transversal	Com Vítimas Feridas	Pleno dia	Decrescente	Céu Claro	Dupla	Reta	Não	2	0	1	0	1	0	1	2	-22,29169833	-43,1279826	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
527475	2023-06-05	segunda-feira	04:40:00	RJ	40	69	PETROPOLIS	Ingestão de substâncias psicoativas pelo condutor	Colisão traseira	Com Vítimas Feridas	Amanhecer	Crescente	Céu Claro	Simples	Reta	Não	2	0	0	1	1	0	1	2	-22,44351715	-43,19229188	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
528270	2023-06-09	sexta-feira	00:30:00	RJ	40	72	PETROPOLIS	Reação tardia ou ineficiente do condutor	Colisão traseira	Com Vítimas Feridas	Plena Noite	Crescente	Céu Claro	Simples	Reta;Aclive	Não	2	0	1	0	0	1	1	2	-22,4585308	-43,21600514	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
529360	2023-06-14	quarta-feira	06:45:00	RJ	40	89	PETROPOLIS	Manobra de mudança de faixa	Colisão lateral mesmo sentido	Sem Vítimas	Pleno dia	Crescente	Céu Claro	Dupla	Reta	Não	2	0	0	0	2	0	0	2	-22,556263	-43,23718	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
531246	2023-06-23	sexta-feira	10:00:00	RJ	40	86	PETROPOLIS	Velocidade Incompatível	Tombamento	Com Vítimas Feridas	Pleno dia	Crescente	Céu Claro	Dupla	Curva	Não	2	0	0	1	0	1	1	2	-22,53575484	-43,23295774	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
