id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
572051,2024-01-02,terça-feira,06:50:00,RJ,40,76,PETROPOLIS,Velocidade Incompatível,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Aclive;Curva,Não,3,0,1,0,2,0,1,2,-22.47192899,-43.23779321,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
572540,2024-01-03,quarta-feira,23:45:00,RJ,40,78,PETROPOLIS,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Reta,Não,2,0,1,0,0,1,1,2,-22.48485874,-43.22843406,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
573354,2024-01-08,segunda-feira,10:30:00,RJ,40,72,PETROPOLIS,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Curva,Não,3,0,1,0,2,0,1,3,-22.4585308,-43.21600514,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
573650,2024-01-09,terça-feira,18:40:00,RJ,40,53,PETROPOLIS,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Anoitecer,Decrescente,Garoa/Chuvisco,Simples,Reta,Não,3,0,2,0,1,0,2,2,-22.34399896,-43.13243691,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
574969,2024-01-15,segunda-feira,13:19:00,RJ,40,72,PETROPOLIS,Velocidade Incompatível,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,2,0,1,0,0,1,1,2,-22.4585308,-43.21600514,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
575339,2024-01-17,quarta-feira,15:50:00,RJ,40,67.9,PETROPOLIS,Carga excessiva e/ou mal acondicionada,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Curva,Sim,2,0,1,0,0,1,1,2,-22.43674775,-43.1756712,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
578394,2024-02-01,quinta-feira,16:10:00,RJ,40,82,PETROPOLIS,Manobra de mudança de faixa,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Não,3,0,1,0,2,0,1,3,-22.51183137,-43.23076171,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
578764,2024-02-03,sábado,08:30:00,RJ,495,22,PETROPOLIS,Falta de acostamento,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Aclive;Reta,Não,4,0,1,0,3,0,1,2,-22.40775537,-43.08365822,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
579245,2024-02-05,segunda-feira,18:00:00,RJ,40,72,PETROPOLIS,Pista Escorregadia,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Garoa/Chuvisco,Dupla,Curva;Declive,Não,1,0,1,0,0,0,1,1,-22.46352401,-43.22321103,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
579253,2024-02-05,segunda-feira,17:00:00,RJ,40,75,PETROPOLIS,Chuva,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Garoa/Chuvisco,Simples,Curva;Aclive,Não,3,0,3,0,0,0,3,1,-22.46857126,-43.22958698,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
579415,2024-02-06,terça-feira,14:50:00,RJ,40,45,PETROPOLIS,Velocidade Incompatível,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,6,0,0,0,6,0,0,2,-22.27821816,-43.11580971,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
581615,2024-02-16,sexta-feira,23:30:00,RJ,40,67,PETROPOLIS,Demais falhas mecânicas ou elétricas,Incêndio,Sem Vítimas,Plena Noite,Decrescente,Nublado,Simples,Curva,Não,1,0,0,0,1,0,0,1,-22.43674775,-43.1756712,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
587298,2024-03-14,quinta-feira,15:17:00,RJ,495,28,PETROPOLIS,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Não,2,0,0,1,1,0,1,2,-22.396297,-43.120255,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
589236,2024-03-23,sábado,10:45:00,RJ,40,80,PETROPOLIS,Pista Escorregadia,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Declive;Curva,Não,1,0,1,0,0,0,1,1,-22.49798597,-43.22878703,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
590446,2024-03-28,quinta-feira,19:00:00,RJ,40,75,PETROPOLIS,Sinalização mal posicionada,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Simples,Aclive;Reta,Não,3,0,2,0,1,0,2,2,-22.46857126,-43.22958698,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
591232,2024-03-31,domingo,20:12:00,RJ,40,96,PETROPOLIS,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Curva,Sim,1,0,0,1,0,0,1,1,-22.56876595,-43.27693723,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
592908,2024-04-09,terça-feira,15:00:00,RJ,40,79,PETROPOLIS,Demais falhas mecânicas ou elétricas,Incêndio,Sem Vítimas,Pleno dia,Decrescente,Nublado,Simples,Curva;Aclive,Não,1,0,0,0,1,0,0,1,-22.49130098,-43.22294163,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
593437,2024-04-12,sexta-feira,08:30:00,RJ,40,64,PETROPOLIS,Velocidade Incompatível,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,Não,3,0,1,0,1,1,1,3,-22.420418,-43.155285,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
594688,2024-04-18,quinta-feira,03:20:00,RJ,40,89,PETROPOLIS,Neblina,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Curva;Declive,Não,1,0,1,0,0,0,1,1,-22.556263,-43.23718,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
596298,2024-04-25,quinta-feira,10:20:00,RJ,40,53.5,PETROPOLIS,Demais falhas mecânicas ou elétricas,Incêndio,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Curva,Sim,1,0,0,0,1,0,0,1,-22.34399896,-43.13243691,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
596493,2024-04-26,sexta-feira,13:20:00,RJ,40,90,PETROPOLIS,Demais falhas mecânicas ou elétricas,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Curva;Declive,Não,3,0,1,0,1,3,1,5,-22.550738,-43.236397,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
598773,2024-05-07,terça-feira,06:45:00,RJ,40,59,PETROPOLIS,Reação tardia ou ineficiente do condutor,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,Sim,4,0,1,0,2,1,1,3,-22.38628773,-43.13543464,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
600330,2024-05-13,segunda-feira,17:00:00,RJ,40,91,PETROPOLIS,Demais falhas mecânicas ou elétricas,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,2,0,1,0,1,0,1,1,-22.54903566,-43.24229724,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
600452,2024-05-07,terça-feira,07:15:00,RJ,40,59,PETROPOLIS,Transitar no Acostamento,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Crescente,Nublado,Dupla,Curva,Sim,3,0,0,0,2,1,0,3,-22.38628773,-43.13543464,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
601818,2024-05-20,segunda-feira,13:00:00,RJ,40,92,PETROPOLIS,Carga excessiva e/ou mal acondicionada,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Curva,Não,2,0,1,0,1,0,1,2,-22.55191954,-43.25068815,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
602188,2024-05-22,quarta-feira,09:00:00,RJ,495,29,PETROPOLIS,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Sim,2,0,1,0,1,0,1,2,-22.391611,-43.126202,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
602615,2024-05-24,sexta-feira,12:20:00,RJ,40,89,PETROPOLIS,Demais falhas mecânicas ou elétricas,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva;Declive,Não,3,0,1,0,1,1,1,3,-22.556263,-43.23718,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
603354,2024-05-27,segunda-feira,07:51:00,RJ,495,24,PETROPOLIS,Problema com o freio,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Reta,Não,3,0,1,0,2,0,1,1,-22.409143,-43.094292,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
